variant,1ep_Y_mAP50,1ep_U_mAP50,1ep_d_mAP50,1ep_Y_mAP,1ep_U_mAP,1ep_d_mAP,1ep_Y_P,1ep_U_P,1ep_d_P,1ep_Y_R,1ep_U_R,1ep_d_R,1ep_Y_F1,1ep_U_F1,1ep_d_F1,5ep_Y_mAP50,5ep_U_mAP50,5ep_d_mAP50,5ep_Y_mAP,5ep_U_mAP,5ep_d_mAP,5ep_Y_P,5ep_U_P,5ep_d_P,5ep_Y_R,5ep_U_R,5ep_d_R,5ep_Y_F1,5ep_U_F1,5ep_d_F1,Y_PT_fps,U_PT_fps,d_PT_fps,Y_FP16_fps,U_FP16_fps,d_FP16_fps,Y_INT8_fps,U_INT8_fps,d_INT8_fps,params_M,GFLOPs,Y_train_CPU_pct,U_train_CPU_pct,Y_train_RSS_GB,U_train_RSS_GB,Y_train_VRAM_MB,U_train_VRAM_MB,batch_train
yolo3,0.4529,0.2036,+0.2494,0.3002,0.1315,+0.1687,0.7088,0.1726,+0.5362,0.6488,0.2637,+0.3851,0.6522,0.2087,+0.4435,0.7541,0.7370,+0.0171,0.6471,0.6278,+0.0192,0.9254,0.9363,-0.0109,0.8482,0.6139,+0.2344,0.8762,0.7415,+0.1347,131.1,131.4,-0.3,478.8,315.9,+162.9,524.0,363.3,+160.7,103.70,283.00,,,,,,,16
yolo5n,0.6977,0.6705,+0.0271,0.5697,0.5115,+0.0582,0.8576,0.6451,+0.2126,0.7411,0.5744,+0.1667,0.7759,0.6077,+0.1682,0.8156,0.8265,-0.0109,0.7066,0.7221,-0.0156,0.9144,0.8209,+0.0935,0.8929,0.7517,+0.1411,0.9025,0.7848,+0.1177,262.4,400.0,-137.6,471.7,704.6,-232.9,470.4,663.3,-192.9,2.51,7.20,475,281,8.1,8.3,4271,5056,16
yolo5s,0.7797,0.6935,+0.0862,0.6301,0.5448,+0.0853,0.8458,0.9012,-0.0554,0.8155,0.5737,+0.2418,0.8109,0.7011,+0.1098,0.7885,0.8326,-0.0442,0.6817,0.7109,-0.0292,0.9282,0.8248,+0.1034,0.8631,0.7661,+0.0970,0.8935,0.7944,+0.0991,221.9,270.3,-48.4,417.6,554.0,-136.4,410.1,499.4,-89.3,9.12,24.10,410,260,8.1,8.4,6865,6634,16
yolo5m,0.4401,0.5207,-0.0806,0.3132,0.3378,-0.0246,0.6487,0.5186,+0.1301,0.5565,0.4537,+0.1029,0.5391,0.4840,+0.0551,0.7909,0.8247,-0.0337,0.6847,0.6771,+0.0077,0.9321,0.7700,+0.1621,0.8750,0.7764,+0.0986,0.9003,0.7732,+0.1271,208.1,230.3,-22.2,303.0,538.0,-235.0,323.1,517.0,-193.9,25.07,64.40,328,205,8.1,8.6,9676,10306,16
yolo5l,0.3373,0.3077,+0.0296,0.2498,0.1661,+0.0836,0.4417,0.6125,-0.1708,0.5952,0.4101,+0.1852,0.4211,0.4912,-0.0702,0.8090,0.7852,+0.0237,0.6837,0.6556,+0.0281,0.9285,0.7404,+0.1881,0.8423,0.7504,+0.0919,0.8768,0.7453,+0.1315,155.8,200.2,-44.4,253.9,436.2,-182.3,287.4,369.6,-82.2,53.17,135.30,264,177,8.1,9.1,13431,13720,16
yolo5x,0.3988,0.2533,+0.1454,0.2794,0.1628,+0.1166,0.7055,0.6213,+0.0842,0.4851,0.3436,+0.1415,0.4587,0.4425,+0.0162,0.7580,0.7190,+0.0390,0.6472,0.5977,+0.0495,0.8950,0.6178,+0.2772,0.8363,0.7303,+0.1060,0.8624,0.6694,+0.1930,112.8,143.7,-30.9,177.1,303.0,-125.9,190.6,359.0,-168.4,97.20,246.90,212,151,8.2,9.7,21106,20576,16
yolo6n,0.0243,0.0012,+0.0231,0.0050,0.0003,+0.0047,0.0827,,,0.1607,,,0.0575,,,0.2525,0.1604,+0.0921,0.1110,0.0690,+0.0420,0.2894,,,0.3155,,,0.2330,,,260.1,,,445.7,,,470.7,,,,,,,,,,,16
yolo6s,0.0251,0.0018,+0.0233,0.0056,0.0007,+0.0049,0.0264,,,0.1220,,,0.0376,,,0.3071,0.1238,+0.1833,0.0961,0.0422,+0.0538,0.4192,,,0.4524,,,0.3849,,,259.5,,,393.7,,,399.1,,,,,,,,,,,16
yolo6m,0.0090,0.0019,+0.0071,0.0018,0.0004,+0.0013,0.0097,,,0.3065,,,0.0183,,,0.5515,0.0996,+0.4519,0.3892,0.0437,+0.3455,0.8910,,,0.6071,,,0.6834,,,180.4,,,277.1,,,305.8,,,,,,,,,,,16
yolo6l,0.0754,0.0018,+0.0736,0.0217,0.0004,+0.0213,0.7312,,,0.0982,,,0.0913,,,0.5032,0.1964,+0.3068,0.3726,0.1075,+0.2651,0.7762,,,0.5774,,,0.6362,,,123.5,,,207.7,,,245.8,,,,,,,,,,,16
yolo6n6,0.0038,0.0141,-0.0103,0.0007,0.0052,-0.0045,0.0055,,,0.0595,,,0.0100,,,0.0529,0.3038,-0.2509,0.0117,0.1572,-0.1455,0.0753,,,0.3452,,,0.1220,,,223.7,,,444.0,,,464.9,,,,,,,,,,,16
yolo6s6,0.0039,0.0008,+0.0032,0.0006,0.0002,+0.0005,0.0181,,,0.1042,,,0.0175,,,0.0673,0.2193,-0.1520,0.0168,0.0829,-0.0661,0.3442,,,0.1905,,,0.1652,,,206.3,,,302.5,,,360.9,,,,,,,,,,,16
yolo6m6,0.0311,0.0049,+0.0262,0.0108,0.0013,+0.0095,0.6103,,,0.0625,,,0.0394,,,0.5069,0.0791,+0.4278,0.3584,0.0273,+0.3311,0.6755,,,0.6012,,,0.6033,,,138.3,,,218.3,,,269.2,,,,,,,,,,,16
yolo6l6,,0.0068,,,0.0016,,,,,,,,,,,,0.2960,,,0.1788,,,,,,,,,,,113.9,,,431.1,,,454.1,,,,,,,,,,,16
