variant,Y_mAP50,Y_mAP,Y_P,Y_R,Y_F1,Y_PT_fps,Y_TRT_FP16_fps,Y_TRT_INT8_fps,U_mAP50,U_mAP,U_P,U_R,U_F1,U_PT_fps,U_TRT_FP16_fps,U_TRT_INT8_fps,params,GFLOPs
yolo3,0.4529,0.3002,0.7088,0.6488,0.6522,,,,0.2036,0.1315,0.1726,0.2637,0.2087,,,,103696319,283.00
yolo5n,0.6977,0.5697,0.8576,0.7411,0.7759,262.4,471.7,470.4,0.6705,0.5115,0.6451,0.5744,0.6077,,,,2509439,7.20
yolo5s,0.7797,0.6301,0.8458,0.8155,0.8109,221.9,417.6,410.1,0.6935,0.5448,0.9012,0.5737,0.7011,,,,9124127,24.10
yolo5m,0.4401,0.3132,0.6487,0.5565,0.5391,208.1,303.0,323.1,0.5207,0.3378,0.5186,0.4537,0.4840,,,,25068031,64.40
yolo5l,0.3373,0.2498,0.4417,0.5952,0.4211,155.8,253.9,287.4,0.3077,0.1661,0.6125,0.4101,0.4912,,,,53167199,135.30
yolo5x,0.3988,0.2794,0.7055,0.4851,0.4587,112.8,177.1,190.6,0.2533,0.1628,0.6213,0.3436,0.4425,,,,97204223,246.90
yolo6n,0.0243,0.0050,0.0827,0.1607,0.0575,260.1,445.7,470.7,,,,,,,,,,
yolo6s,0.0251,0.0056,0.0264,0.1220,0.0376,259.5,393.7,399.1,,,,,,,,,,
yolo6m,0.0090,0.0018,0.0097,0.3065,0.0183,180.4,277.1,305.8,,,,,,,,,,
yolo6l,0.0754,0.0217,0.7312,0.0982,0.0913,123.5,207.7,245.8,,,,,,,,,,
yolo6n6,0.0038,0.0007,0.0055,0.0595,0.0100,223.7,444.0,464.9,,,,,,,,,,
yolo6s6,0.0039,0.0006,0.0181,0.1042,0.0175,206.3,302.5,360.9,,,,,,,,,,
yolo6m6,0.0311,0.0108,0.6103,0.0625,0.0394,138.3,218.3,269.2,,,,,,,,,,
yolo6l6,,,,,,93.8,155.0,201.9,,,,,,,,,,
yolo6s_mbla,0.1007,0.0466,0.7908,0.1042,0.1094,183.2,351.2,361.4,,,,,,,,,,
yolo6m_mbla,0.0200,0.0053,0.0987,0.0327,0.0330,178.7,295.2,306.8,,,,,,,,,,
yolo6l_mbla,0.1329,0.0676,0.7640,0.1101,0.1140,154.2,259.3,300.6,,,,,,,,,,
yolo6x_mbla,0.0794,0.0269,0.1003,0.2232,0.1138,103.3,164.9,215.0,,,,,,,,,,
yolo7,0.2148,0.0868,0.4056,0.3512,0.2598,,,,,,,,,,,,,
yolo7-tiny,0.2454,0.1176,0.3576,0.4583,0.3609,214.4,369.4,398.4,,,,,,,,,,
yolo7x,0.1766,0.0663,0.3183,0.3810,0.2726,,,,,,,,,,,,,
yolo7-w6,,,,,,,,,,,,,,,,,,
yolo7-e6,,,,,,,,,,,,,,,,,,
yolo7-d6,,,,,,,,,,,,,,,,,,
yolo7-e6e,,,,,,,,,,,,,,,,,,
