variant,new_mAP50,base_mAP50,d_mAP50,new_mAP,base_mAP,d_mAP,new_P,base_P,d_P,new_R,base_R,d_R,new_F1,base_F1,d_F1,new_CPU_pct,base_CPU_pct,d_CPU,new_RSS_GB,base_RSS_GB,d_RSS,new_VRAM_MB,base_VRAM_MB,d_VRAM,batch,train_sec,status
yolo1,0,,,0,,,0,,,0,,,0,,,303,,,6.2,,,8724,,,8,12,new
yolo2,0.50085,,,0.195644,,,0.527244,,,0.630952,,,0.562264,,,375,,,5.6,,,3354,,,8,8,new
yolo2-tiny,0.25872,,,0.0961354,,,0.399133,,,0.410714,,,0.3813,,,539,,,5.5,,,2096,,,8,6,new
yolo3u,0.521213,0.4529,+0.0683,0.385314,0.3002,+0.0851,0.798769,0.7088,+0.0900,0.589286,0.6488,-0.0595,0.642357,0.6522,-0.0098,202,,,6.7,,,10472,,,8,28,ok
yolo4,0.425161,,,0.202158,,,0.564697,,,0.488095,,,0.381024,,,136,,,6.4,,,8246,,,8,95,new
yolo5n,0.665068,0.6977,-0.0326,0.520402,0.5697,-0.0493,0.785094,0.8576,-0.0725,0.764881,0.7411,+0.0238,0.771178,0.7759,-0.0047,349,475,-126,6.6,8.1,-1.5,2152,4271,-2119,8,11,ok
yolo5s,0.622575,0.7797,-0.1571,0.476331,0.6301,-0.1538,0.680341,0.8458,-0.1655,0.732143,0.8155,-0.0834,0.680122,0.8109,-0.1308,291,410,-119,6.6,8.1,-1.5,3166,6865,-3699,8,14,ok
yolo5m,0.591925,0.4401,+0.1518,0.421544,0.3132,+0.1083,0.72144,0.6487,+0.0727,0.708333,0.5565,+0.1518,0.669902,0.5391,+0.1308,246,328,-82,6.6,8.1,-1.5,4556,9676,-5120,8,17,ok
yolo5l,0.275643,0.3373,-0.0617,0.150233,0.2498,-0.0996,0.283768,0.4417,-0.1579,0.401786,0.5952,-0.1934,0.245805,0.4211,-0.1753,189,264,-75,6.6,8.1,-1.5,6692,13431,-6739,8,26,ok
yolo5x,0.339941,0.3988,-0.0589,0.230401,0.2794,-0.0490,0.705674,0.7055,+0.0002,0.4375,0.4851,-0.0476,0.443572,0.4587,-0.0151,165,212,-47,6.3,8.2,-1.9,6754,21106,-14352,4,42,ok
yolo6n,0.55365,0.0243,+0.5293,0.343718,0.0050,+0.3387,0.709026,0.0827,+0.6263,0.580357,0.1607,+0.4197,0.607243,0.0575,+0.5497,340,,,6.7,,,2050,,,8,11,ok
yolo6s,0.553372,0.0251,+0.5283,0.182784,0.0056,+0.1772,0.652092,0.0264,+0.6257,0.622024,0.1220,+0.5000,0.588842,0.0376,+0.5512,322,,,6.5,,,2750,,,8,13,ok
yolo6m,0.679448,0.0090,+0.6704,0.549107,0.0018,+0.5473,0.80082,0.0097,+0.7911,0.666667,0.3065,+0.3602,0.683119,0.0183,+0.6648,256,,,6.6,,,4060,,,8,18,ok
yolo6l,0.609132,0.0754,+0.5337,0.45538,0.0217,+0.4337,0.711943,0.7312,-0.0193,0.610119,0.0982,+0.5119,0.612794,0.0913,+0.5215,181,,,6.6,,,7064,,,8,28,ok
yolo6s_mbla,0.71789,0.1007,+0.6172,0.549795,0.0466,+0.5032,0.860717,0.7908,+0.0699,0.761905,0.1042,+0.6577,0.78424,0.1094,+0.6748,263,,,6.6,,,3636,,,8,17,ok
yolo6m_mbla,0.711326,0.0200,+0.6913,0.54288,0.0053,+0.5376,0.717704,0.0987,+0.6190,0.755952,0.0327,+0.7233,0.722596,0.0330,+0.6896,218,,,6.6,,,4822,,,8,21,ok
yolo6l_mbla,0.630222,0.1329,+0.4973,0.483156,0.0676,+0.4156,0.69881,0.7640,-0.0652,0.660714,0.1101,+0.5506,0.629194,0.1140,+0.5152,189,,,6.6,,,6044,,,8,26,ok
yolo6x_mbla,0.595703,0.0794,+0.5163,0.441293,0.0269,+0.4144,0.899663,0.1003,+0.7994,0.616071,0.2232,+0.3929,0.706156,0.1138,+0.5924,158,,,6.2,,,5882,,,4,44,ok
