variant,mAP50,mAP,P,R,F1,CPU_pct,RSS_GB,VRAM_MB,batch,train_sec,status
yolo1,0,0,0,0,0,303,6.2,8724,8,12,ok
yolo2,0.50085,0.195644,0.527244,0.630952,0.562264,375,5.6,3354,8,8,ok
yolo2-tiny,0.25872,0.0961354,0.399133,0.410714,0.3813,539,5.5,2096,8,6,ok
yolo3u,0.521213,0.385314,0.798769,0.589286,0.642357,202,6.7,10472,8,28,ok
yolo4,0.425161,0.202158,0.564697,0.488095,0.381024,136,6.4,8246,8,95,ok
yolo5n,0.665068,0.520402,0.785094,0.764881,0.771178,349,6.6,2152,8,11,ok
yolo5s,0.622575,0.476331,0.680341,0.732143,0.680122,291,6.6,3166,8,14,ok
yolo5m,0.591925,0.421544,0.72144,0.708333,0.669902,246,6.6,4556,8,17,ok
yolo5l,0.275643,0.150233,0.283768,0.401786,0.245805,189,6.6,6692,8,26,ok
yolo5x,0.339941,0.230401,0.705674,0.4375,0.443572,165,6.3,6754,4,42,ok
yolo6n,0.55365,0.343718,0.709026,0.580357,0.607243,340,6.7,2050,8,11,ok
yolo6s,0.553372,0.182784,0.652092,0.622024,0.588842,322,6.5,2750,8,13,ok
yolo6m,0.679448,0.549107,0.80082,0.666667,0.683119,256,6.6,4060,8,18,ok
yolo6l,0.609132,0.45538,0.711943,0.610119,0.612794,181,6.6,7064,8,28,ok
yolo6s_mbla,0.71789,0.549795,0.860717,0.761905,0.78424,263,6.6,3636,8,17,ok
yolo6m_mbla,0.711326,0.54288,0.717704,0.755952,0.722596,218,6.6,4822,8,21,ok
yolo6l_mbla,0.630222,0.483156,0.69881,0.660714,0.629194,189,6.6,6044,8,26,ok
yolo6x_mbla,0.595703,0.441293,0.899663,0.616071,0.706156,158,6.2,5882,4,44,ok
yolo6n6,0.0775256,0.0206873,0.334945,0.196429,0.202552,334,9.2,3776,4,40,ok
yolo6s6,0.0625085,0.0147073,0.0615035,0.21131,0.0949911,300,9.1,13004,4,44,ok
yolo6m6,0.479268,0.361643,0.680299,0.544643,0.530251,219,9.1,21916,4,73,ok
yolo6l6,0.568931,0.415854,0.861103,0.580357,0.635853,177,8.0,11618,2,110,ok
yolo7,0.248297,0.116271,0.463962,0.377976,0.28033,143,6.5,8998,8,79,ok
yolo7-tiny,0.260365,0.109636,0.357216,0.404762,0.298635,140,6.4,3410,8,88,ok
yolo7x,0.202327,0.0837827,0.490588,0.151786,0.175383,134,6.2,11780,4,112,ok
yolo8n,0.754753,0.621919,0.950866,0.75,0.817127,372,6.6,2178,8,10,ok
yolo8s,0.681261,0.541748,0.744918,0.770833,0.71275,317,6.6,3144,8,13,ok
yolo8m,0.62793,0.492142,0.806924,0.699405,0.747596,255,6.6,4694,8,17,ok
yolo8l,0.416801,0.28409,0.647756,0.574405,0.570248,212,6.6,6532,8,24,ok
yolo8x,0.28915,0.205017,0.638759,0.377976,0.441158,183,6.2,5824,4,36,ok
yolo9t,0.67762,0.571248,0.75053,0.705357,0.711729,286,6.6,2354,8,15,ok
yolo9s,0.712779,0.56494,0.881955,0.729167,0.765415,264,6.6,3446,8,17,ok
yolo9m,0.474279,0.363753,0.592381,0.592262,0.501668,213,6.7,5314,8,23,ok
yolo9c,0.531878,0.403617,0.677078,0.66369,0.584632,217,6.7,6696,8,23,ok
yolo9e,0.161318,0.0780861,0.24479,0.303571,0.158703,147,6.3,8728,4,53,ok
yolo10n,0.684665,0.546335,0.900102,0.732143,0.789143,249,6.9,2352,8,18,ok
yolo10s,0.62557,0.500685,0.752534,0.690476,0.698828,234,6.9,3454,8,20,ok
yolo10m,0.442169,0.298726,0.52973,0.535714,0.478228,201,6.9,14288,8,25,ok
yolo10b,0.427675,0.322368,0.561921,0.547619,0.461469,203,6.9,20694,8,25,ok
yolo10l,0.377108,0.295609,0.717648,0.520833,0.574414,189,7.0,7460,8,29,ok
yolo10x,0.41069,0.317411,0.794071,0.464286,0.493901,174,6.5,5854,4,40,ok
yolo11n,0.694623,0.566779,0.891035,0.738095,0.783717,288,6.8,3650,8,15,ok
yolo11s,0.655433,0.509306,0.799616,0.744048,0.742221,262,6.8,3402,8,17,ok
yolo11m,0.44893,0.314269,0.631747,0.53869,0.483968,224,6.9,5736,8,22,ok
yolo11l,0.430383,0.292248,0.58254,0.544643,0.45461,203,6.9,6856,8,27,ok
yolo11x,0.305751,0.19948,0.471807,0.422619,0.342858,178,6.5,8316,4,40,ok
yolo12n,0.707676,0.555082,0.931959,0.747024,0.811757,261,6.8,2864,8,18,ok
yolo12s,0.564567,0.4141,0.607174,0.645833,0.535361,223,6.9,4380,8,21,ok
yolo12m,0.325035,0.230105,0.644908,0.52381,0.475725,197,6.9,7522,8,28,ok
yolo12l,0.446217,0.32395,0.623352,0.535714,0.502811,170,7.0,23426,8,39,ok
yolo12x,0.295008,0.188692,0.662887,0.345238,0.390875,153,6.5,9358,4,59,ok
yolo13n,0.722941,0.607931,0.815884,0.833333,0.823235,204,7.2,3246,8,26,ok
yolo13s,0.633424,0.501192,0.782108,0.64881,0.648555,186,7.1,5236,8,31,ok
yolo13l,0.526389,0.42349,0.603907,0.669643,0.557641,148,7.2,13034,8,52,ok
yolo13x,0.55893,0.43831,0.875972,0.633929,0.704209,134,6.8,10842,4,81,ok
yolo26n,0.664127,0.547056,0.905961,0.714286,0.773075,255,6.8,2464,8,17,ok
yolo26s,0.741833,0.561157,0.881737,0.821429,0.846376,245,6.9,3826,8,19,ok
yolo26m,0.620235,0.448323,0.755393,0.714286,0.69437,207,6.9,6304,8,25,ok
yolo26l,0.674966,0.490091,0.686689,0.741071,0.698193,199,6.9,7382,8,28,ok
yolo26x,0.597007,0.434053,0.877149,0.696429,0.747824,173,6.5,9592,4,43,ok
