variant,mAP50,mAP,P,R,F1,CPU_pct,RSS_GB,VRAM_MB,batch,train_sec,status
yolo1,2.88308e-06,4.80514e-07,0.065868,0.00892857,0.000750614,325,6.6,10255,16,11,ok
yolo2,0.31668,0.118138,0.612013,0.53869,0.539651,378,6.2,5534,16,8,ok
yolo2-tiny,0.307002,0.100898,0.501418,0.401786,0.422477,530,6.0,3284,16,6,ok
yolo3u,0.444906,0.321019,0.591022,0.559524,0.470015,207,7.8,13894,16,27,ok
yolo4,0.47294,0.245922,0.334469,0.761905,0.35098,134,7.6,14202,16,97,ok
yolo5n,0.668948,0.557003,0.849035,0.761905,0.779684,375,7.8,3482,16,10,ok
yolo5s,0.652514,0.520451,0.877461,0.741071,0.768761,351,7.8,5137,16,11,ok
yolo5m,0.452914,0.328839,0.633618,0.580357,0.529529,294,7.8,7759,16,14,ok
yolo5l,0.594002,0.426519,0.771951,0.592262,0.605263,252,7.8,11300,16,19,ok
yolo5x,0.296768,0.166242,0.515301,0.52381,0.403746,207,7.9,16459,16,28,ok
yolo6n,0.610579,0.30751,0.717671,0.630952,0.64641,337,7.8,3704,16,12,ok
yolo6s,0.554522,0.246421,0.755033,0.633929,0.681545,343,7.8,4374,16,11,ok
yolo6m,0.588602,0.457145,0.68351,0.610119,0.623925,267,7.8,6835,16,17,ok
yolo6l,0.533968,0.392024,0.79394,0.5625,0.635131,230,7.8,12578,16,21,ok
yolo6s_mbla,0.689892,0.55193,0.750469,0.747024,0.735042,301,7.7,6416,16,14,ok
yolo6m_mbla,0.652482,0.513627,0.829733,0.6875,0.72286,260,7.8,8179,16,17,ok
yolo6l_mbla,0.758996,0.600694,0.901377,0.75,0.78851,239,7.8,13548,16,20,ok
yolo6x_mbla,0.477255,0.376058,0.669998,0.675595,0.600085,201,7.8,15161,16,27,ok
yolo6n6,0.155904,0.0303979,0.24161,0.41369,0.260229,251,16.3,8263,16,77,ok
yolo6s6,0.0515755,0.0102372,0.090574,0.276786,0.122177,332,16.4,12255,16,42,ok
yolo6m6,0.639266,0.505076,0.736625,0.776786,0.746904,260,16.7,21771,16,61,ok
yolo6l6,0.502986,0.366121,0.751515,0.613095,0.620525,201,11.7,23423,8,91,ok:oom-b8
yolo7,0.263317,0.126862,0.511458,0.431548,0.292409,144,7.7,12858,16,74,ok
yolo7-tiny,0.236262,0.1134,0.311283,0.386905,0.244441,147,7.5,4417,16,70,ok
yolo7x,0.115651,0.0394451,0.260851,0.261905,0.166357,134,7.7,16683,16,100,ok
yolo8n,0.746393,0.621446,0.890558,0.776786,0.823738,387,7.8,3501,16,10,ok
yolo8s,0.806202,0.637147,0.952192,0.794643,0.848523,350,7.8,5257,16,11,ok
